iter	Passed	Remaining
0	4	4199
1	8	4122
2	12	4138
3	16	4069
4	20	4021
5	24	4046
6	28	4049
7	32	4034
8	36	4010
9	39	3943
10	43	3887
11	47	3924
12	52	4015
13	58	4104
14	63	4180
15	68	4202
16	73	4242
17	78	4269
18	82	4275
19	87	4304
20	92	4316
21	97	4330
22	101	4330
23	107	4364
24	112	4384
25	117	4383
26	122	4416
27	127	4426
28	132	4422
29	136	4402
30	140	4380
31	143	4355
32	148	4341
33	151	4316
34	155	4298
35	159	4278
36	164	4268
37	167	4250
38	171	4234
39	175	4218
40	179	4202
41	183	4188
42	187	4176
43	191	4162
44	195	4148
45	199	4137
46	203	4124
47	207	4111
48	211	4099
49	215	4087
50	219	4087
51	225	4102
52	230	4110
53	234	4115
54	238	4102
55	242	4090
56	246	4078
57	250	4068
58	254	4057
59	258	4047
60	262	4038
61	266	4026
62	270	4018
63	274	4009
64	278	3999
65	281	3987
66	285	3977
67	289	3969
68	293	3961
69	297	3952
70	301	3943
71	305	3935
72	309	3926
73	313	3917
74	320	3946
75	325	3954
76	330	3958
77	335	3962
78	340	3966
79	345	3969
80	348	3955
81	352	3943
82	356	3937
83	360	3929
84	363	3918
85	367	3910
86	371	3902
87	375	3895
88	379	3887
89	383	3879
90	387	3872
91	391	3864
92	395	3857
93	399	3853
94	403	3844
95	407	3839
96	411	3832
97	415	3825
98	419	3818
99	423	3811
100	427	3805
101	431	3798
102	435	3791
103	439	3784
104	443	3777
105	447	3770
106	450	3762
107	454	3755
108	458	3748
109	462	3742
110	466	3736
111	470	3729
112	474	3723
113	478	3716
114	482	3709
115	485	3702
116	489	3696
117	493	3689
118	497	3683
119	501	3676
120	505	3670
121	509	3663
122	512	3657
123	516	3652
124	520	3645
125	524	3638
126	528	3634
127	532	3627
128	536	3621
129	540	3615
130	544	3609
131	548	3604
132	551	3598
133	555	3593
134	559	3587
135	563	3581
136	567	3575
137	571	3569
138	575	3563
139	579	3558
140	583	3552
141	587	3547
142	590	3541
143	594	3535
144	598	3530
145	602	3526
146	606	3521
147	610	3516
148	614	3510
149	618	3505
150	622	3501
151	626	3496
152	630	3490
153	634	3485
154	638	3481
155	643	3482
156	648	3484
157	654	3489
158	659	3489
159	664	3487
160	668	3481
161	671	3474
162	675	3469
163	679	3464
164	683	3459
165	687	3454
166	691	3448
167	695	3443
168	699	3438
169	703	3432
170	707	3429
171	711	3425
172	716	3424
173	721	3425
174	726	3424
175	731	3423
176	739	3438
177	751	3469
178	760	3488
